tool,n,n_classes,accuracy,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
cppcheck,266,32,0.462406,0.462406,0.462406,0.462406,0.019028,0.027653,0.022544,0.31819,0.462406,0.376976
flawfinder,266,29,0.484962,0.484962,0.484962,0.484962,0.01977,0.032002,0.024441,0.299599,0.484962,0.370383
rats,266,27,0.522556,0.522556,0.522556,0.522556,0.019354,0.037037,0.025423,0.273065,0.522556,0.358693
sast_any,266,32,0.43985,0.43985,0.43985,0.43985,0.019764,0.026304,0.022569,0.330482,0.43985,0.377402
