tool,n,tp,fp,tn,fn,accuracy,precision,recall,specificity,f1,false_positive_rate,false_negative_rate,positive_support_gt,negative_support_gt
cppcheck,266,49,17,122,78,0.642857,0.742424,0.385827,0.877698,0.507772,0.122302,0.614173,127,139
flawfinder,266,31,10,129,96,0.601504,0.756098,0.244094,0.928058,0.369048,0.071942,0.755906,127,139
rats,266,73,24,115,54,0.706767,0.752577,0.574803,0.827338,0.651786,0.172662,0.425197,127,139
sast_any,266,87,32,107,40,0.729323,0.731092,0.685039,0.769784,0.707317,0.230216,0.314961,127,139
