tool,n,n_classes,accuracy,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
cppcheck,902,23,0.865854,0.865854,0.865854,0.865854,0.042979,0.043127,0.04304,0.869868,0.865854,0.86785
flawfinder,902,22,0.907982,0.907982,0.907982,0.907982,0.052934,0.059733,0.055811,0.871723,0.907982,0.889424
rats,902,18,0.923503,0.923503,0.923503,0.923503,0.051306,0.055556,0.053346,0.852858,0.923503,0.886776
sast_any,902,25,0.853659,0.853659,0.853659,0.853659,0.049318,0.052386,0.050395,0.884688,0.853659,0.868808
