tool,n,tp,fp,tn,fn,accuracy,precision,recall,specificity,f1,false_positive_rate,false_negative_rate,positive_support_gt,negative_support_gt
cppcheck,902,20,53,780,49,0.886918,0.273973,0.289855,0.936375,0.28169,0.063625,0.710145,69,833
flawfinder,902,19,16,817,50,0.926829,0.542857,0.275362,0.980792,0.365385,0.019208,0.724638,69,833
rats,902,16,17,816,53,0.922395,0.484848,0.231884,0.979592,0.313725,0.020408,0.768116,69,833
sast_any,902,33,70,763,36,0.882483,0.320388,0.478261,0.915966,0.383721,0.084034,0.521739,69,833
