tool,n,tp,fp,tn,fn,accuracy,precision,recall,specificity,f1,false_positive_rate,false_negative_rate,positive_support_gt,negative_support_gt
cppcheck,78,12,18,33,15,0.576923,0.4,0.444444,0.647059,0.421053,0.352941,0.555556,27,51
flawfinder,78,20,15,36,7,0.717949,0.571429,0.740741,0.705882,0.645161,0.294118,0.259259,27,51
rats,78,24,25,26,3,0.641026,0.489796,0.888889,0.509804,0.631579,0.490196,0.111111,27,51
sast_any,78,24,30,21,3,0.576923,0.444444,0.888889,0.411765,0.592593,0.588235,0.111111,27,51
