tool,n,n_classes,accuracy,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
cppcheck,78,18,0.435897,0.435897,0.435897,0.435897,0.056713,0.063725,0.059259,0.458066,0.435897,0.446154
flawfinder,78,14,0.538462,0.538462,0.538462,0.538462,0.139166,0.138856,0.138045,0.612933,0.538462,0.571331
rats,78,11,0.653846,0.653846,0.653846,0.653846,0.059441,0.090909,0.071882,0.427515,0.653846,0.516995
sast_any,78,18,0.448718,0.448718,0.448718,0.448718,0.106481,0.100373,0.101852,0.592236,0.448718,0.50641
